iter	RMSE
0	1.476830284
1	1.453449554
2	1.434106553
3	1.416312021
4	1.402397339
5	1.390160725
6	1.377688531
7	1.367684326
8	1.358662121
9	1.351160927
10	1.344761826
11	1.335843901
12	1.330810367
13	1.323998593
14	1.319657123
15	1.315441861
16	1.311731024
17	1.308120636
18	1.305390285
19	1.301778267
20	1.297510863
21	1.295060534
22	1.292669723
23	1.289536231
24	1.286021399
25	1.283112813
26	1.281447496
27	1.279472409
28	1.277016931
29	1.275722063
30	1.273143057
31	1.27180002
32	1.270794129
33	1.26869665
34	1.267148576
35	1.266142017
36	1.264409048
37	1.263103143
38	1.261976717
39	1.258865829
40	1.257800344
41	1.256341649
42	1.255673865
43	1.254182567
44	1.253303265
45	1.252276845
46	1.250884895
47	1.250074687
48	1.248717497
49	1.24764838
50	1.246657583
51	1.245865855
52	1.244406768
53	1.243899989
54	1.243118832
55	1.242099524
56	1.241566209
57	1.240591995
58	1.239765947
59	1.238437584
60	1.236751204
61	1.235998593
62	1.234274942
63	1.233748252
64	1.23242817
65	1.231495732
66	1.229849963
67	1.229242467
68	1.227905579
69	1.227512222
70	1.227084134
71	1.226506282
72	1.225913771
73	1.225287859
74	1.2248242
75	1.223914666
76	1.22329966
77	1.2224797
78	1.222064471
79	1.220618698
80	1.219972761
81	1.219424653
82	1.218976352
83	1.21846638
84	1.218058578
85	1.216953742
86	1.216225112
87	1.215305127
88	1.213700351
89	1.213140137
90	1.212624976
91	1.212169014
92	1.211775868
93	1.211337303
94	1.210883542
95	1.20995236
96	1.209520329
97	1.209111527
98	1.208702866
99	1.208316598
100	1.208045727
101	1.207536894
102	1.206999274
103	1.206690266
104	1.206472619
105	1.205940806
106	1.205371168
107	1.205014848
108	1.204486485
109	1.203895661
110	1.203452072
111	1.202964312
112	1.202754242
113	1.202282589
114	1.20187052
115	1.201652595
116	1.200905032
117	1.200407042
118	1.199947106
119	1.199591632
120	1.199383736
121	1.19913409
122	1.198894342
123	1.198736612
124	1.198412879
125	1.197331638
126	1.19655333
127	1.196194731
128	1.195818802
129	1.195609043
130	1.195433158
131	1.19509092
132	1.194760863
133	1.194511108
134	1.194043521
135	1.193814632
136	1.193415573
137	1.193298861
138	1.193064375
139	1.192743835
140	1.192331145
141	1.191865352
142	1.191441758
143	1.190967987
144	1.190556373
145	1.18991681
146	1.189441832
147	1.189185669
148	1.188329167
149	1.187756734
150	1.187487177
151	1.187251982
152	1.186898306
153	1.186718253
154	1.186457158
155	1.18629917
156	1.186096324
157	1.185184836
158	1.184613336
159	1.184413124
160	1.183586755
161	1.183185871
162	1.182981096
163	1.182532459
164	1.182170828
165	1.181998644
166	1.181649244
167	1.181316735
168	1.180995172
169	1.180885746
170	1.180689139
171	1.180619984
172	1.180379682
173	1.180267221
174	1.179905419
175	1.17989869
176	1.179585093
177	1.179578789
178	1.179167986
179	1.179079998
180	1.178856357
181	1.178773283
182	1.178500583
183	1.178263402
184	1.17805478
185	1.177905422
186	1.177154324
187	1.176998345
188	1.176725729
189	1.176513116
190	1.176150069
191	1.176117184
192	1.175502077
193	1.175076184
194	1.17487209
195	1.174867182
196	1.174746446
197	1.174623749
198	1.174377004
199	1.173938216
200	1.173574612
201	1.173316475
202	1.173279431
203	1.172908284
204	1.172635966
205	1.17245542
206	1.171833697
207	1.171537382
208	1.171433291
209	1.171164236
210	1.170869
211	1.170773563
212	1.170596418
213	1.169890103
214	1.169741404
215	1.169565851
216	1.169442357
217	1.168737795
218	1.168214441
219	1.167779596
220	1.167551607
221	1.167288791
222	1.16682551
223	1.166662665
224	1.166552215
225	1.166439246
226	1.166340763
227	1.165724402
228	1.165445264
229	1.165272094
230	1.165141106
231	1.164928899
232	1.163886441
233	1.163695504
234	1.163335588
235	1.163179257
236	1.163124132
237	1.16280773
238	1.162627649
239	1.162539698
240	1.162427162
241	1.162004029
242	1.161774233
243	1.161662962
244	1.161567665
245	1.161253982
246	1.16116665
247	1.161006006
248	1.160792503
249	1.160653762
250	1.160497945
251	1.160380467
252	1.159844931
253	1.159590133
254	1.159323869
255	1.159246293
256	1.159164065
257	1.158716264
258	1.158506726
259	1.158248152
260	1.158025885
261	1.15705598
262	1.156436864
263	1.156242964
264	1.156075599
265	1.155568088
266	1.155470407
267	1.155358342
268	1.155158218
269	1.155006485
270	1.154270779
271	1.154109465
272	1.153935265
273	1.153817784
274	1.153653575
275	1.15286012
276	1.152444137
277	1.152340464
278	1.152179457
279	1.152022881
280	1.151778958
281	1.151602615
282	1.151505549
283	1.151296094
284	1.151142945
285	1.151055248
286	1.150882195
287	1.150695647
288	1.150410358
289	1.14983597
290	1.149526907
291	1.149396887
292	1.149287861
293	1.149127546
294	1.148905755
295	1.148834942
296	1.148666702
297	1.148502309
298	1.148438569
299	1.148271385
300	1.148191415
301	1.148056707
302	1.147848844
303	1.147788642
304	1.147648979
305	1.147535784
306	1.146974191
307	1.146112113
308	1.145643937
309	1.145538281
310	1.145372124
311	1.145304318
312	1.145182604
313	1.14481949
314	1.144667584
315	1.144550868
316	1.144288748
317	1.144115784
318	1.143969544
319	1.143922897
320	1.143808752
321	1.143767706
322	1.14357042
323	1.14336589
324	1.143260102
325	1.142908526
326	1.142749959
327	1.14247898
328	1.14242212
329	1.141860248
330	1.141749253
331	1.141643654
332	1.141221427
333	1.141071112
334	1.140795708
335	1.140652887
336	1.140370338
337	1.140302226
338	1.140197301
339	1.140010623
340	1.139951405
341	1.139811069
342	1.139764373
343	1.139478542
344	1.139413444
345	1.139251429
346	1.139036891
347	1.13891029
348	1.138443526
349	1.138355456
350	1.138312507
351	1.138209839
352	1.138101506
353	1.137779033
354	1.137610583
355	1.137506627
356	1.137421022
357	1.137346839
358	1.137209434
359	1.137096687
360	1.136970498
361	1.136838964
362	1.136787649
363	1.136741197
364	1.136661409
365	1.136607921
366	1.136468022
367	1.136350037
368	1.13613673
369	1.136067424
370	1.135943469
371	1.135866611
372	1.135724979
373	1.135438342
374	1.135361945
375	1.135299385
376	1.135217102
377	1.13511076
378	1.134694458
379	1.134404246
380	1.13434752
381	1.134256117
382	1.133878655
383	1.133715381
384	1.133592861
385	1.133472725
386	1.133255985
387	1.133192663
388	1.1327969
389	1.132691405
390	1.132635565
391	1.131980533
392	1.131829864
393	1.13171151
394	1.131519633
395	1.131370208
396	1.131274957
397	1.131127196
398	1.13102077
399	1.130914802
400	1.130670293
401	1.130550032
402	1.130364254
403	1.130280291
404	1.130064496
405	1.129950888
406	1.129792678
407	1.129708385
408	1.129584278
409	1.129420273
410	1.129270412
411	1.129148454
412	1.129011733
413	1.128774779
414	1.128668354
415	1.128570762
416	1.128506424
417	1.128434332
418	1.128201429
419	1.128069575
420	1.127991786
421	1.127877591
422	1.127697207
423	1.127344115
424	1.127304573
425	1.12718604
426	1.127024179
427	1.126919416
428	1.126827255
429	1.12673365
430	1.126547697
431	1.126486308
432	1.126420106
433	1.126353522
434	1.126164416
435	1.12601814
436	1.125850628
437	1.125609141
438	1.125539186
439	1.125480736
440	1.125206928
441	1.125105896
442	1.1250457
443	1.124901768
444	1.124861342
445	1.124613788
446	1.12443935
447	1.124379026
448	1.124038826
449	1.123984793
450	1.123909069
451	1.123742122
452	1.12357316
453	1.123448719
454	1.123182827
455	1.123131656
456	1.123011573
457	1.122956715
458	1.122905472
459	1.122819666
460	1.122110543
461	1.122004361
462	1.121689842
463	1.121624204
464	1.121419477
465	1.121305077
466	1.1209245
467	1.120852492
468	1.120794923
469	1.120703693
470	1.120639277
471	1.12052282
472	1.120464161
473	1.120349463
474	1.120283484
475	1.120183401
476	1.120075422
477	1.119917464
478	1.119777439
479	1.119604257
480	1.119366014
481	1.119282772
482	1.119117623
483	1.118974594
484	1.118935542
485	1.118718874
486	1.11857549
487	1.118418596
488	1.1184011
489	1.118329705
490	1.118252819
491	1.11805461
492	1.1179088
493	1.117828483
494	1.117770692
495	1.117672808
496	1.117564141
497	1.117532676
498	1.117483228
499	1.117349701
500	1.117312566
501	1.117048918
502	1.116932237
503	1.116879397
504	1.116787044
505	1.116729608
506	1.11670643
507	1.116642155
508	1.116622579
509	1.116606858
510	1.116580632
511	1.116539309
512	1.116252082
513	1.11608459
514	1.116070628
515	1.115916959
516	1.115810362
517	1.11555362
518	1.11548439
519	1.115454509
520	1.1154511
521	1.115393306
522	1.115356824
523	1.115330142
524	1.115266346
525	1.115218196
526	1.11519301
527	1.115035326
528	1.115008969
529	1.11491346
530	1.114785762
531	1.11473923
532	1.114735389
533	1.114686665
534	1.114614464
535	1.114428137
536	1.114388505
537	1.114314036
538	1.114271894
539	1.113828692
540	1.113445083
541	1.113232134
542	1.113192886
543	1.113141622
544	1.112929467
545	1.112862627
546	1.112710356
547	1.112633798
548	1.112585024
549	1.112480249
550	1.112412669
551	1.112344411
552	1.112225675
553	1.11217317
