iter	Passed	Remaining
0	266	266423
1	377	188607
2	499	166066
3	639	159203
4	846	168413
5	976	161747
6	1180	167511
7	1307	162073
8	1441	158673
9	1591	157554
10	1722	154868
11	1814	149423
12	1931	146653
13	2049	144315
14	2228	146343
15	2439	150011
16	2643	152852
17	2810	153330
18	3031	156526
19	3190	156344
20	3321	154844
21	3456	153677
22	3608	153271
23	3711	150931
24	3822	149066
25	3955	148195
26	4064	146484
27	4191	145494
28	4302	144064
29	4398	142217
30	4514	141109
31	4617	139692
32	4757	139413
33	4908	139469
34	5076	139954
35	5188	138946
36	5302	138001
37	5458	138181
38	5714	140802
39	5964	143155
40	6300	147379
41	6460	147371
42	6630	147573
43	6850	148852
44	6971	147941
45	7117	147616
46	7251	147040
47	7400	146772
48	7530	146156
49	7694	146192
50	7832	145736
51	8018	146177
52	8158	145770
53	8322	145805
54	8543	146795
55	8760	147672
56	8938	147876
57	9140	148455
58	9289	148156
59	9476	148466
60	9636	148331
61	9824	148632
62	10023	149076
63	10199	149161
64	10341	148764
65	10536	149101
66	10694	148921
67	10840	148574
68	11105	149843
69	11314	150318
70	11584	151573
71	11679	150532
72	11791	149740
73	11886	148738
74	11983	147799
75	12109	147226
76	12238	146704
77	12430	146929
78	12624	147180
79	12850	147780
80	13036	147903
81	13352	149481
82	13607	150334
83	13832	150837
84	14109	151889
85	14295	151930
86	14429	151429
87	14625	151570
88	14901	152535
89	15129	152978
90	15329	153127
91	15513	153110
92	15689	153016
93	15900	153249
94	16040	152810
95	16224	152784
96	16357	152277
97	16485	151737
98	16651	151549
99	16869	151825
100	16994	151272
101	17141	150908
102	17257	150291
103	17393	149848
104	17522	149356
105	17689	149193
106	17833	148836
107	18086	149385
108	18395	150368
109	18631	150744
110	18881	151224
111	19150	151835
112	19489	152986
113	19819	154033
114	20078	154517
115	20376	155283
116	20602	155484
117	20815	155586
118	21074	156023
119	21269	155974
120	21552	156568
121	21797	156871
122	21988	156782
123	22255	157225
124	22401	156808
125	22626	156951
126	22827	156918
127	22968	156475
128	23149	156300
129	23284	155824
130	23415	155330
131	23602	155206
132	23827	155326
133	24087	155669
134	24306	155741
135	24457	155374
136	24632	155168
137	24845	155194
138	25017	154964
139	25281	155302
140	25498	155340
141	25707	155331
142	25878	155091
143	26033	154755
144	26193	154448
145	26353	154151
146	26508	153822
147	26707	153747
148	26937	153851
149	27128	153729
150	27269	153324
151	27370	152696
152	27502	152254
153	27632	151800
154	27786	151483
155	27933	151124
156	28095	150855
157	28292	150774
158	28444	150454
159	28694	150644
160	28910	150657
161	29053	150289
162	29154	149705
163	29269	149204
164	29396	148762
165	29507	148247
166	29688	148088
167	29868	147921
168	30026	147643
169	30149	147199
170	30354	147157
171	30446	146566
172	30529	145941
173	30623	145375
174	30773	145073
175	30937	144843
176	31135	144769
177	31325	144658
178	31504	144499
179	31619	144042
180	31830	144029
181	32058	144087
182	32227	143878
183	32475	144020
184	32599	143612
185	32711	143156
186	32812	142654
187	32899	142098
188	33025	141711
189	33160	141367
190	33300	141047
191	33456	140796
192	33593	140465
193	33729	140135
194	33858	139773
195	33956	139290
196	34123	139094
197	34225	138632
198	34462	138714
199	34645	138580
200	34780	138257
201	34966	138133
202	35102	137816
203	35237	137496
204	35397	137272
205	35526	136930
206	35749	136953
207	35913	136748
208	36068	136507
209	36169	136064
210	36275	135647
211	36379	135222
212	36519	134933
213	36644	134590
214	36923	134814
215	37192	134994
216	37455	135149
217	37610	134914
218	37799	134801
219	38022	134807
220	38144	134453
221	38306	134245
222	38481	134080
223	38682	134006
224	38886	133944
225	39048	133732
226	39226	133578
227	39370	133306
228	39546	133145
229	39661	132781
230	39765	132378
231	39901	132088
232	40025	131759
233	40267	131815
234	40438	131640
235	40554	131286
236	40696	131019
237	40818	130687
238	40915	130280
239	41031	129934
240	41151	129601
241	41337	129480
242	41448	129121
243	41631	128987
244	41795	128797
245	42012	128769
246	42201	128655
247	42417	128619
248	42673	128706
249	42921	128763
250	43108	128637
251	43238	128343
252	43348	127989
253	43462	127649
254	43561	127267
255	43647	126849
256	43734	126438
257	43811	126001
258	43896	125588
259	43990	125203
260	44069	124779
261	44170	124418
262	44277	124079
263	44365	123686
264	44438	123253
265	44527	122869
266	44635	122537
267	44746	122218
268	44832	121831
269	44916	121440
270	45032	121139
271	45128	120786
272	45243	120482
273	45350	120162
274	45433	119778
275	45555	119500
276	45676	119220
277	45809	118972
278	45913	118650
279	46009	118309
280	46130	118035
281	46226	117697
282	46326	117370
283	46454	117117
284	46553	116793
285	46655	116476
286	46740	116117
287	46826	115764
288	46923	115440
289	47022	115123
290	47178	114946
291	47264	114601
292	47348	114250
293	47435	113909
294	47532	113594
295	47622	113264
296	47697	112899
297	47793	112587
298	47862	112211
299	47952	111888
300	48044	111571
301	48127	111236
302	48224	110932
303	48325	110640
304	48418	110330
305	48499	109995
306	48624	109761
307	48768	109571
308	48874	109296
309	48987	109035
310	49123	108830
311	49243	108587
312	49391	108408
313	49552	108257
314	49702	108082
315	49767	107724
316	49864	107435
317	49936	107095
318	50021	106785
319	50093	106447
320	50169	106120
321	50290	105891
322	50423	105686
323	50541	105450
324	50694	105288
325	50803	105034
326	50909	104776
327	51038	104566
328	51167	104356
329	51352	104260
330	51498	104086
331	51744	104112
332	51940	104037
333	52113	103914
334	52298	103816
335	52600	103948
336	52716	103711
337	52847	103506
338	52962	103268
339	53140	103154
340	53207	102825
341	53279	102509
342	53347	102184
343	53435	101900
344	53494	101562
345	53583	101282
346	53664	100989
347	53736	100677
348	53821	100395
349	53887	100077
350	53951	99756
351	54042	99487
352	54119	99193
353	54191	98891
354	54267	98599
355	54337	98295
356	54392	97967
357	54473	97687
358	54581	97455
359	54660	97173
360	54759	96928
361	54870	96706
362	54978	96477
363	55081	96240
364	55179	95996
365	55281	95760
366	55374	95509
367	55482	95285
368	55726	95293
369	55858	95109
370	55923	94813
371	56009	94552
372	56072	94256
373	56155	93992
374	56229	93715
375	56293	93423
376	56364	93143
377	56440	92872
378	56516	92603
379	56606	92357
380	56700	92120
381	56799	91890
382	56970	91776
383	57075	91558
384	57160	91308
385	57248	91064
386	57353	90846
387	57445	90610
388	57579	90439
389	57668	90199
390	57751	89950
391	57929	89849
392	58093	89727
393	58249	89591
394	58414	89470
395	58592	89368
396	58718	89187
397	58842	89003
398	58975	88833
399	59106	88659
400	59269	88535
401	59414	88383
402	59565	88239
403	59696	88067
404	59870	87957
405	60101	87932
406	60317	87882
